index,word,m1_trigram,m2_trigram
0,allowed,3.45e-05,6.97e-09
0,car,0.0028014,0.0028014
0,family,0.000166839,0.000166839
0,son,0.000242315,0.000242315
0,use,0.00534466,0.00534466
1,aloud,0.000440511,1.48e-07
1,class,0.0213974,9.81e-06
1,poem,4.49e-05,4.49e-05
1,read,8.13e-09,8.13e-09
1,student,5.15e-05,5.15e-05
2,be,0.426646,1.28e-07
2,okay,0.000202329,0.000919276
2,worry,0.00502034,0.00502034
3,bee,2.75e-06,0.0676358
3,hive,2.87e-05,2.87e-05
3,long,0.862273,0.862273
3,want,0.0983657,0.0983657
4,bored,1.2e-05,2.02e-06
4,alone,6.95e-05,6.95e-05
4,man,0.050822,0.050822
4,old,0.000128063,0.000128063
4,tears,0.379402,3.51e-05
4,time,0.0134318,0.0134318
5,cache,1.53e-07,1.53e-07
5,copies,3.89e-07,6.76e-07
5,database,0.00012806,0.00012806
5,pages,8.06e-07,8.06e-07
5,stored,1.01e-06,1.01e-06
5,web,3.31e-05,3.31e-05
6,caller,4.77e-05,2.26e-05
6,bank,0.00605718,0.00605718
6,phone,0.00115134,0.00115134
7,cash,9.71e-07,2.19e-09
7,bought,0.000680114,0.000680114
7,chips,9.83e-06,9.83e-06
7,stocks,4.46e-05,4.46e-05
7,ten,7.18e-05,7.18e-05
7,years,0.43258,0.43258
8,cd,7.33e-05,1.51e-08
8,bought,0.00121767,0.00121767
8,classical,5.24e-05,5.24e-05
8,music,0.0391182,0.0391182
8,new,0.0568819,0.0568819
9,cd,1.79e-05,6.62e-05
9,music,0.000208104,0.000208104
9,part,2.36e-06,2.53e-06
9,stores,8.31e-05,8.31e-05
9,town,0.00127732,0.00127732
10,cent,1.61e-05,5.68e-06
10,borrow,0.000278958,0.000278958
10,even,0.0063178,0.0063178
10,let,0.00117553,0.00117553
10,not,0.0859567,0.0859567
10,stingy,5.32e-06,5.32e-06
11,coarse,7.39e-05,1.45e-05
11,hair,0.0113966,5.72e-05
11,very,0.00200948,0.00200948
12,collar,1.35e-05,5.53e-06
12,dog,1.42e-05,1.42e-05
12,puts,0.000452632,0.000452632
12,walking,0.00026152,0.00026152
13,course,0.00184713,3.8e-05
13,school,0.000458155,0.000505811
13,took,4.39e-06,4.39e-06
14,damn,0.037045,2.81e-05
14,give,0.0105927,0.0105927
14,not,0.238667,0.238667
14,say,0.0217591,0.0217591
15,days,0.0240316,3.8e-08
15,seven,0.00187166,0.00187166
15,week,0.00262676,0.00262676
16,dear,0.000109317,1.79e-05
16,friend,0.41105,5.58e-07
17,deer,6.2e-08,5.39e-05
17,forest,0.000265678,0.000265678
18,die,0.00185834,3.06e-06
18,attack,0.342205,0.342205
18,heart,0.00112199,0.00112199
18,scared,0.000148404,0.000148404
18,very,0.0146664,0.0146664
19,err,0.00301254,4.49e-05
19,being,0.00115423,0.00115423
19,better,0.00208068,0.00208068
19,safe,0.000110172,0.000110172
19,side,0.000995069,0.000995069
20,eye,1.06e-06,0.00388565
20,blind,0.000304547,0.000304547
20,see,0.00485822,0.115105
21,eye,0.00101215,7.82e-05
21,poked,6.06e-06,6.06e-06
22,fair,0.000106431,0.000116322
22,game,0.000712054,0.000712054
22,not,0.0354391,0.0354391
22,rules,0.000656915,0.000656915
23,fare,2.65e-05,3.91e-05
23,paid,0.00431825,0.00431825
24,feat,7.68e-05,1.26e-06
24,exam,1.23e-05,1.23e-05
24,passing,4.44e-07,4.44e-07
24,real,0.00542699,0.00542699
24,studying,1.4e-05,1.4e-05
25,feet,5.64e-05,1.47e-08
25,hurting,4.73e-05,4.73e-05
25,new,0.00399792,0.00399792
25,shoes,0.000124811,0.000124811
25,these,5.81e-06,5.81e-06
26,flower,0.000844841,4.54e-07
26,among,0.000821921,0.000821921
26,growing,0.000422858,0.000422858
26,picked,0.000672297,0.000672297
26,pretty,9.63e-05,9.63e-05
26,weeds,1.77e-05,1.77e-05
27,grader,5.24e-07,3.09e-07
27,hired,9.25e-05,9.25e-05
27,score,6.94e-05,6.94e-05
27,tests,6.41e-06,6.41e-06
28,grease,4.17e-08,1.4e-05
28,plate,0.000302228,0.000302228
29,greece,6.57e-06,1.54e-07
29,country,0.000621759,0.000621759
29,europe,0.000318602,0.000318602
29,portion,0.0008041,0.0008041
29,southern,6.35e-05,6.35e-05
30,guilt,1.78e-05,1.92e-05
30,accused,0.000202546,0.000202546
30,decides,6.48e-08,6.48e-08
30,innocence,0.379971,1.75e-05
30,jury,3.78e-05,3.78e-05
30,person,0.176602,0.176602
31,hair,0.000583672,3.09e-06
31,heads,0.0124276,0.0124276
31,lots,0.00021699,0.00021699
31,people,0.0602399,0.0602399
32,hare,1.27e-05,6.19e-06
32,fields,0.00109167,0.00109167
32,ran,2.99e-07,1.81e-07
32,rapidly,0.00022985,0.00022985
33,heal,0.0242701,9.89e-08
33,just,0.00258124,0.00258124
33,takes,0.0109527,0.0109527
33,time,0.0287128,0.0287128
33,wounds,1.22e-05,1.22e-05
34,heir,2.83e-05,2.86e-07
34,british,0.00347617,0.00347617
